uid,collection_uid,name,alt_name,acronym,subdiv_ind,menu_gwn_ind
skt-lo-bu-pm,skt-lo-vi,Bhikkhu Pātimokkha,,,,
skt-lo-abhisamacarika,skt-lo-vi,Abhisamācārika,,,,
skt-sv-bu-pm,skt-sv-vi,Bhikkhu Pātimokkha (1st),,,,
skt-sv-bu-pm-2,skt-sv-vi,Bhikkhu Pātimokkha (2nd),,,,
skt-sv-bu-kammavaca,skt-sv-vi,Bhikkhu Kammavācā,,,,
skt-sv-bi-kammavaca,skt-sv-vi,Bhikkhunī Kammavācā,,,,
skt-mu-khandhaka,skt-mu-vi,Khandhaka,,,,
skt-mu-bu-pm,skt-mu-vi,Bhikkhu Pātimokkha (1st),,,,
skt-mu-bu-pm-2,skt-mu-vi,Bhikkhu Pātimokkha (2nd),,,,
skt-mu-bu-kammavaca,skt-mu-vi,Bhikkhu Kammavācā,,,,
bo-mu-khandhaka,bo-mu-vi,Khandhaka,,,,1
bo-mu-bu-pm,bo-mu-vi,Bhikkhu Pātimokkha,,,,1
bo-mu-mv,bo-mu-vi,Bhikkhu Vibhaṅga,,,,1
bo-mu-bi-pm,bo-mu-vi,Bhikkhunī Pātimokkha,,,,1
bo-mu-bi-vb,bo-mu-vi,Bhikkhunī Vibhaṅga,,,,1
bo-mu-khuddakavatthu,bo-mu-vi,Khuddakavatthu,,,,1
bo-mu-uttaragantha,bo-mu-vi,Uttaragantha (1st),,,,1
bo-mu-uttaragantha-2,bo-mu-vi,Uttaragantha (2nd),,,,
bo-mu-bu-kammavaca,bo-mu-vi,Bhikkhu Kammavācā,,,,
dhs,pi-tv-ab,Dhammasaṅgaṇī,,,,
vbh,pi-tv-ab,Vibhaṅga,,,,
dhatuk,pi-tv-ab,Dhātukathā,,,,
pp,pi-tv-ab,Puggalapaññatti,,,,
kv,pi-tv-ab,Kathāvatthu,,,,
yam,pi-tv-ab,Yamaka,,,,
patth,pi-tv-ab,Paṭṭhāna,,,,
sangitiparyaya,zh-sv-ab,Saṅgītiparyāya,,,,
zh-dharmaskandha,zh-sv-ab,Dharmaskandha,,,,
prajnaptisastra,zh-sv-ab,Prajnaptiśāstra,,,,
dhatukaya,zh-sv-ab,Dhātukāya,,,,
vijnanakaya,zh-sv-ab,Vijnānakāya,,,,
prakaranapada,zh-sv-ab,Prakaraṇapada,,,,
jnanaprasthana,zh-sv-ab,Jnānaprasthāna,,,,
sariputrabhidharma,zh-dg-ab,Śāripūtrābhidharma,,,,
skt-dharmaskandha,skt-sv-ab,Dharmaskandha,,,,
