sutta_uid,language,abstract,url,priority
dn16,de,German translation of DN 16 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d16_1.htm,2
dn17,de,German translation of DN 17 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d17.htm,2
dn18,de,German translation of DN 18 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d18.htm,2
dn19,de,German translation of DN 19 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d19.htm,2
dn20,en,English translation of DN 20 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.20.0.than.html,3
dn20,en,English translation of DN 20 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha2/20-mahasamaya-e2.html,9
dn20,fr,French translation of DN 20 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn20.html,1
dn20,de,German translation of DN 20 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d20.htm,2
dn21,en,English translation of DN 21 from BPS. Translator Sister Vajira. With introduction and notes.,http://www.bps.lk/olib/wh/wh010-u.html,1
dn21,en,English translation of DN 21 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.21.2x.than.html,3
dn21,de,German translation of DN 21 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d21.htm,2
dn22,en,From Ancient Buddhist Texts. Critical dual-language (Pali-English) translation of DN 22 by Anandajoti Bhikkhu.,http://www.ancient-buddhist-texts.net/Texts-and-Translations/Satipatthana/Satipatthana.pdf,1
dn22,en,English translation of DN 22 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,3
dn22,en,English translation of DN 22 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha2/22-mahasatipatthana-e2.html,9
dn22,fr,French translation of DN 22 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn22.html,1
dn22,de,German translation of DN 22 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d22.htm,2
dn23,de,German translation of DN 23 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d23.htm,2
dn24,de,German translation of DN 24 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d24.htm,2
dn25,de,German translation of DN 25 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d25.htm,2
