sutta_uid,other_sutta_uid,partial,footnote
an2.49,sf117,,
mn12,t13,1,Correspondence reference is T i 241b.
mn12,sa612,1,
mn12,sa684,1,
mn12,sa701,1,
mn12,ea27.6,1,
mn12,ea31.8,1,
mn12,ea46.4,1,
mn12,ea50.6,1,
mn12,t757.1,,
mn12,t780b,1,
mn12,t781,1,
mn12,t802,1,
mn12,sf60,,
mn12,sf91,,
mn12,sf96,,
mn12,sf142,,
mn12,sht36,,
mn12,sf244,,
mn12,sf262,,
mn13,ma99,,
mn13,t53,,
mn13,ea21.9,,
mn14,ma100,,
mn14,t54,,
mn14,t55,,
mn14,ea41.1,1,"EA 41.1 is only a partial parallel, as its first part instead parallels SN 55.21 at SN v 369, another meeting between the Buddha and Mahānāma."
mn15,ma89,,
mn15,t50,,
mn16,an5.205-206,,
mn16,an9.71-72,1,
mn16,an10.14,,
mn16,ma206,,
mn16,ea51.4,,
mn17,ma107-108,,
mn17,ea45.3,1,
mn17,sht73,,
mn18,ma115,,
mn18,ea40.10,,
mn19,ma102,,
mn20,ma101,,
mn21,ma193,,
mn21,ea50.8,1,"EA 50.8 is only a partial parallel to MN 21. Its first part agrees with MN 21 in having the monk Moliyaphagguna (~茂羅破群) associating excessively with nuns. The remainder of EA 50.8 agrees rather with MN 22, as in EA 50.8 the claim that sensuality is no obstacle to progress is made by Moliyaphagguna, while in MN 22 it is made by another monk, Ariṭṭha. EA 50.8 thereafter agrees with MN 22 in having the Buddha correct this mistaken view and deliver the snake simile. We therefore list EA 50.8 as a partial parallel to both MN 21 and MN 22."
mn22,ma200,,
mn22,ea43.5,1,
mn22,ea50.8,1,
mn22,t1421.8a,1,
mn22,t1425.17b,1,
mn22,t1428.17,1,
mn22,t1435.15,1,
mn22,t1442.39,1,
mn22,up8.029,1,
mn23,t95,,
mn23,sa1079,,
mn23,sa-2.18,,
mn23,ea39.9,,
mn24,ma9,,
mn24,ea39.10,,
mn24,sht14,,Identified in SHT viii p. 201.
mn25,ma178,,
mn26,ma204,,
mn26,ea19.1,1,
mn26,ea24.5,1,
mn26,t765.3,1,"For T 765 <span class='author'>Akanuma</span> p. 164 gives the location as T 765 at T xvii 67a, which seems to be a typing error."
mn26,t1421.15b,1,
mn26,t1428.31,1,
mn26,t1450.5,1,
mn26,lal16,,"In addition to the Chinese counterparts to the Lalitavistara and the Saṅghabhedavastu, T 186 at T iii 527a, T 187 at T iii 603a, and T 191 at T iii 952c, several other Buddha biographies parallel some of the events described in MN 26; e.g. T 188 at T iii 620b, T 189 at T iii 642c, T 190 at T iii 806a, T 196 at T iv 147c. | New edition <span class='author'>Vaidya</span> 1958b."
mn26,mvu20,,
sa-2.201,sf79,1,
mn26,sbv30,,
mn26,sht60,,
mn26,sf259,,
mn27,ma146,,
mn28,ma30,,
mn29,ea43.4,,
mn30,ea43.4,1,"<span class='author'>Akanuma</span> p. 165 lists no parallel. The main content of MN 30 is similar to that of MN 29; consequently EA 43.4, the parallel to MN 29, is also a partial parallel to MN 30."
mn31,ma185,,
mn31,ea24.8,1,
mn32,ma184,,
mn32,ea37.3,,
mn32,t154.16,,
mn32,sht63,,
mn33,an11.17,,
mn33,sa1249,,
mn33,t123,,
mn33,ea49.1,,
mn33,t1509.2,,
mn34,sa1248,,
mn34,ea43.6,,
mn34,sht74,,
mn35,sa110,,
mn35,ea37.10,,
mn35,sht34,,Identified in SHT vii p. 273.
