uid,division_uid,name,acronym,vagga_numbering_ind
pi-tv-bi-pm-ss,pi-tv-bi-pm,Saṅghādisesā,Ss,
pi-tv-bi-pm-np,pi-tv-bi-pm,Nissaggiyā Pācittiyā,NP,
pi-tv-bi-pm-pc,pi-tv-bi-pm,Pācittiyā,Pc,
pi-tv-bi-pm-pd,pi-tv-bi-pm,Pāṭidesanīyā,Pd,
pi-tv-bi-pm-sk,pi-tv-bi-pm,Sekhiyā,Sk,
pi-tv-bi-pm-as,pi-tv-bi-pm,Adhikaraṇasamathā,As,
pi-tv-pvr-bi-pj,pi-tv-pvr-bi,Pārājika,Pj,
pi-tv-pvr-bi-ss,pi-tv-pvr-bi,Saṅghādisesā,Ss,
pi-tv-pvr-bi-np,pi-tv-pvr-bi,Nissaggiyā Pācittiyā,NP,
pi-tv-pvr-bi-pc,pi-tv-pvr-bi,Pācittiyā,Pc,
pi-tv-pvr-bi-pd,pi-tv-pvr-bi,Pāṭidesanīyā,Pd,
pi-tv-pvr-bi-sk,pi-tv-pvr-bi,Sekhiyā,Sk,
pi-tv-pvr-bi-as,pi-tv-pvr-bi,Adhikaraṇasamathā,As,
zh-dg-bi-vb-pj,zh-dg-bi-vb,Pārājika,Pj,
zh-dg-bi-vb-ss,zh-dg-bi-vb,Saṅghādisesā,Ss,
zh-dg-bi-vb-np,zh-dg-bi-vb,Nissaggiyā Pācittiyā,NP,
zh-dg-bi-vb-pc,zh-dg-bi-vb,Pācittiyā,Pc,
zh-dg-bi-vb-pd,zh-dg-bi-vb,Pāṭidesanīyā,Pd,
zh-dg-bi-vb-sk,zh-dg-bi-vb,Sekhiyā,Sk,
zh-dg-bi-pm-pj,zh-dg-bi-pm,Pārājika,Pj,
zh-dg-bi-pm-ss,zh-dg-bi-pm,Saṅghādisesā,Ss,
zh-dg-bi-pm-np,zh-dg-bi-pm,Nissaggiyā Pācittiyā,NP,
zh-dg-bi-pm-pc,zh-dg-bi-pm,Pācittiyā,Pc,
zh-dg-bi-pm-pd,zh-dg-bi-pm,Pāṭidesanīyā,Pd,
zh-dg-bi-pm-sk,zh-dg-bi-pm,Sekhiyā,Sk,
zh-dg-bu-vb-as,zh-dg-bu-vb,Adhikaraṇasamathā,As,
zh-mi-bi-vb-pj,zh-mi-bi-vb,Pārājika,Pj,
zh-mi-bi-vb-ss,zh-mi-bi-vb,Saṅghādisesā,Ss,
zh-mi-bi-vb-np,zh-mi-bi-vb,Nissaggiyā Pācittiyā,NP,
zh-mi-bi-vb-pc,zh-mi-bi-vb,Pācittiyā,Pc,
zh-mi-bi-vb-pd,zh-mi-bi-vb,Pāṭidesanīyā,Pd,
zh-mi-bi-vb-sk,zh-mi-bi-vb,Sekhiyā,Sk,
zh-mi-bi-pm-pj,zh-mi-bi-pm,Pārājika,Pj,
zh-mi-bi-pm-ss,zh-mi-bi-pm,Saṅghādisesā,Ss,
zh-mi-bi-pm-np,zh-mi-bi-pm,Nissaggiyā Pācittiyā,NP,
zh-mi-bi-pm-pc,zh-mi-bi-pm,Pācittiyā,Pc,
zh-mi-bi-pm-pd,zh-mi-bi-pm,Pāṭidesanīyā,Pd,
zh-mi-bi-pm-sk,zh-mi-bi-pm,Sekhiyā,Sk,
zh-sv-bi-pm-dh-np,zh-sv-bi-pm-dh,Nissaggiyā Pācittiyā,NP,
zh-sv-bi-pm-dh-pc,zh-sv-bi-pm-dh,Pācittiyā,Pc,
zh-sv-bi-pm-dh-pd,zh-sv-bi-pm-dh,Pāṭidesanīyā,Pd,
zh-sv-bi-pm-dh-sk,zh-sv-bi-pm-dh,Sekhiyā,Sk,
zh-sv-bi-vb-pj,zh-sv-bi-vb,Pārājika,Pj,
zh-sv-bi-vb-ss,zh-sv-bi-vb,Saṅghādisesā,Ss,
zh-sv-bi-vb-np,zh-sv-bi-vb,Nissaggiyā Pācittiyā,NP,
zh-sv-bi-vb-pc,zh-sv-bi-vb,Pācittiyā,Pc,
zh-sv-bi-vb-pd,zh-sv-bi-vb,Pāṭidesanīyā,Pd,
zh-sv-bi-vb-sk,zh-sv-bi-vb,Sekhiyā,Sk,
zh-sv-bi-pm-pj,zh-sv-bi-pm,Pārājika,Pj,
zh-sv-bi-pm-ss,zh-sv-bi-pm,Saṅghādisesā,Ss,
zh-sv-bi-pm-np,zh-sv-bi-pm,Nissaggiyā Pācittiyā,NP,
zh-sv-bi-pm-pc,zh-sv-bi-pm,Pācittiyā,Pc,
zh-sv-bi-pm-pd,zh-sv-bi-pm,Pāṭidesanīyā,Pd,
zh-sv-bi-pm-sk,zh-sv-bi-pm,Sekhiyā,Sk,
zh-sv-bi-pm-as,zh-sv-bi-pm,Adhikaraṇasamathā,As,
skt-sv-bi-pm-pj,skt-sv-bi-pm,Pārājika,Pj,
skt-sv-bi-pm-ss,skt-sv-bi-pm,Saṅghādisesā,Ss,
skt-sv-bi-pm-np,skt-sv-bi-pm,Nissaggiyā Pācittiyā,NP,
skt-sv-bi-pm-pc,skt-sv-bi-pm,Pācittiyā,Pc,
zh-mu-bi-vb-pj,zh-mu-bi-vb,Pārājika,Pj,
zh-mu-bi-vb-ss,zh-mu-bi-vb,Saṅghādisesā,Ss,
zh-mu-bi-vb-np,zh-mu-bi-vb,Nissaggiyā Pācittiyā,NP,
zh-mu-bi-vb-pc,zh-mu-bi-vb,Pācittiyā,Pc,
zh-mu-bi-vb-pd,zh-mu-bi-vb,Pāṭidesanīyā,Pd,
zh-mu-bi-vb-sk,zh-mu-bi-vb,Sekhiyā,Sk,
zh-mu-bi-pm-pj,zh-mu-bi-pm,Pārājika,Pj,
zh-mu-bi-pm-ss,zh-mu-bi-pm,Saṅghādisesā,Ss,
zh-mu-bi-pm-np,zh-mu-bi-pm,Nissaggiyā Pācittiyā,NP,
zh-mu-bi-pm-pc,zh-mu-bi-pm,Pācittiyā,Pc,
zh-mu-bi-pm-pd,zh-mu-bi-pm,Pāṭidesanīyā,Pd,
zh-mu-bi-pm-sk,zh-mu-bi-pm,Sekhiyā,Sk,
zh-mu-bi-pm-as,zh-mu-bi-pm,Adhikaraṇasamathā,As,
bo-mu-bi-vb-pj,bo-mu-bi-vb,Pārājika,Pj,
bo-mu-bi-vb-ss,bo-mu-bi-vb,Saṅghādisesā,Ss,
bo-mu-bi-vb-np,bo-mu-bi-vb,Nissaggiyā Pācittiyā,NP,
bo-mu-bi-vb-pc,bo-mu-bi-vb,Pācittiyā,Pc,
bo-mu-bi-vb-pd,bo-mu-bi-vb,Pāṭidesanīyā,Pd,
bo-mu-bi-vb-sk,bo-mu-bi-vb,Sekhiyā,Sk,
bo-mu-bi-pm-pj,bo-mu-bi-pm,Pārājika,Pj,
bo-mu-bi-pm-ss,bo-mu-bi-pm,Saṅghādisesā,Ss,
bo-mu-bi-pm-np,bo-mu-bi-pm,Nissaggiyā Pācittiyā,NP,
bo-mu-bi-pm-pc,bo-mu-bi-pm,Pācittiyā,Pc,
bo-mu-bi-pm-pd,bo-mu-bi-pm,Pāṭidesanīyā,Pd,
bo-mu-bi-pm-sk,bo-mu-bi-pm,Sekhiyā,Sk,
bo-mu-bi-pm-as,bo-mu-bi-pm,Adhikaraṇasamathā,As,
zh-mg-bi-vb-pj,zh-mg-bi-vb,Pārājika,Pj,
zh-mg-bi-vb-ss,zh-mg-bi-vb,Saṅghādisesā,Ss,
zh-mg-bi-vb-np,zh-mg-bi-vb,Nissaggiyā Pācittiyā,NP,
zh-mg-bi-vb-pc,zh-mg-bi-vb,Pācittiyā,Pc,
zh-mg-bi-vb-pd,zh-mg-bi-vb,Pāṭidesanīyā,Pd,
zh-mg-bi-vb-sk,zh-mg-bi-vb,Sekhiyā,Sk,
zh-mg-bi-vb-as,zh-mg-bi-vb,Adhikaraṇasamathā,As,
zh-mg-bi-pm-pj,zh-mg-bi-pm,Pārājika,Pj,
zh-mg-bi-pm-ss,zh-mg-bi-pm,Saṅghādisesā,Ss,
zh-mg-bi-pm-np,zh-mg-bi-pm,Nissaggiyā Pācittiyā,NP,
zh-mg-bi-pm-pc,zh-mg-bi-pm,Pācittiyā,Pc,
zh-mg-bi-pm-pd,zh-mg-bi-pm,Pāṭidesanīyā,Pd,
zh-mg-bi-pm-sk,zh-mg-bi-pm,Sekhiyā,Sk,
zh-mg-bi-pm-as,zh-mg-bi-pm,Adhikaraṇasamathā,As,
skt-lo-bi-vb-pj,skt-lo-bi-vb,Pārājika,Pj,
skt-lo-bi-vb-ss,skt-lo-bi-vb,Saṅghādisesā,Ss,
skt-lo-bi-vb-np,skt-lo-bi-vb,Nissaggiyā Pācittiyā,NP,
skt-lo-bi-vb-pc,skt-lo-bi-vb,Pācittiyā,Pc,
skt-lo-bi-vb-pd,skt-lo-bi-vb,Pāṭidesanīyā,Pd,
skt-lo-bi-vb-sk,skt-lo-bi-vb,Sekhiyā,Sk,
skt-lo-bi-vb-as,skt-lo-bi-vb,Sekhiyā,Sk,
skt-lo-bi-vb-gd,skt-lo-bi-vb,Garudhamma,Gd,
skt-sv-bi-vb-ss,skt-sv-bi-vb,Saṅghādisesā,Ss,
skt-sv-bi-vb-pc,skt-sv-bi-vb,Pācittiyā,Pc,
