uid,division_uid,name,acronym,vagga_numbering_ind
ea22,ea,Ekottarikāgama 22,EA 22,
ea23,ea,Ekottarikāgama 23,EA 23,
ea24,ea,Ekottarikāgama 24,EA 24,
ea25,ea,Ekottarikāgama 25,EA 25,
ea26,ea,Ekottarikāgama 26,EA 26,
ea27,ea,Ekottarikāgama 27,EA 27,
ea28,ea,Ekottarikāgama 28,EA 28,
ea29,ea,Ekottarikāgama 29,EA 29,
ea30,ea,Ekottarikāgama 30,EA 30,
ea31,ea,Ekottarikāgama 31,EA 31,
ea32,ea,Ekottarikāgama 32,EA 32,
ea33,ea,Ekottarikāgama 33,EA 33,
ea34,ea,Ekottarikāgama 34,EA 34,
ea35,ea,Ekottarikāgama 35,EA 35,
ea36,ea,Ekottarikāgama 36,EA 36,
ea37,ea,Ekottarikāgama 37,EA 37,
ea38,ea,Ekottarikāgama 38,EA 38,
ea39,ea,Ekottarikāgama 39,EA 39,
ea40,ea,Ekottarikāgama 40,EA 40,
ea41,ea,Ekottarikāgama 41,EA 41,
ea42,ea,Ekottarikāgama 42,EA 42,
ea43,ea,Ekottarikāgama 43,EA 43,
ea44,ea,Ekottarikāgama 44,EA 44,
ea45,ea,Ekottarikāgama 45,EA 45,
ea46,ea,Ekottarikāgama 46,EA 46,
ea47,ea,Ekottarikāgama 47,EA 47,
ea48,ea,Ekottarikāgama 48,EA 48,
ea49,ea,Ekottarikāgama 49,EA 49,
ea50,ea,Ekottarikāgama 50,EA 50,
ea51,ea,Ekottarikāgama 51,EA 51,
ea52,ea,Ekottarikāgama 52,EA 52,
t2-25,oa,Other Dīrgha Sūtras,T 2–25,
t27-98,oa,Other Madhyama Sūtras,T 27–98,
t102-124,oa,Other Saṃyukta Sūtras,T 102–124,
t126-149,oa,Other Ekottarika Sūtras,"T 126–149, 150B, 151",
sht1,sht,"SHT i – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1965",SHT i,
sht2,sht,"SHT ii – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1968",SHT ii,
sht3,sht,"SHT iii – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1971",SHT iii,
sht4,sht,"SHT iv – ed. L. Sander, E. Waldschmidt 1980",SHT iv,
sht5,sht,"SHT v – ed. L. Sander, E. Waldschmidt 1985",SHT v,
sht6,sht,"SHT vi – ed. H. Bechert, K. Wille 1989",SHT vi,
sht7,sht,"SHT vii – ed. H. Bechert, K. Wille 1995",SHT vii,
sht8,sht,"SHT viii – ed. H. Bechert, K. Wille 2000",SHT viii,
sht9,sht,"SHT ix – ed. H. Bechert, K. Wille 2004",SHT ix,
sht10,sht,SHT x – ed. K. Wille 2008,SHT x,
t150B,ot,,T 150B,

# Vinaya Subdivisions

# Bhikkhu
pi-tv-bu-vb-pj,pi-tv-bu-vb,Pārājika,Pj,
pi-tv-bu-vb-ss,pi-tv-bu-vb,Saṅghādisesā,Ss,
pi-tv-bu-vb-ay,pi-tv-bu-vb,Aniyatā,An,
pi-tv-bu-vb-np,pi-tv-bu-vb,Nissaggiyā Pācittiyā,NP,
pi-tv-bu-vb-pc,pi-tv-bu-vb,Pācittiyā,Pc,
pi-tv-bu-vb-pd,pi-tv-bu-vb,Pāṭidesanīyā,Pd,
pi-tv-bu-vb-sk,pi-tv-bu-vb,Sekhiyā,Sk,
pi-tv-bu-vb-as,pi-tv-bu-vb,Adhikaraṇasamathā,As,
pi-tv-bu-pm-pj,pi-tv-bu-pm,Pārājika,Pj,
pi-tv-bu-pm-ss,pi-tv-bu-pm,Saṅghādisesā,Ss,
