A,B,C,D,E,F,G,H,I,J
Veṭhaka,,,,,,,zh-mg-bi-pn3,,skt-lo-bi-pn3
Śroṇibhaṇḍaka,,,,,,,zh-mg-bi-pn4,,skt-lo-bi-pn4
Gṛhiṇibhaṇḍaka,,,,,,,zh-mg-bi-pn5,,skt-lo-bi-pn5
Gṛhiṇī-alaṁkāra,,,,,,,zh-mg-bi-pn6,,skt-lo-bi-pn6
Veśyā,,,,,,,zh-mg-bi-pn7,,skt-lo-bi-pn7
Ārāmikinī,,,,,,,zh-mg-bi-pn8,,skt-lo-bi-pn8
Saṁkakṣikā,,,,,,,zh-mg-bi-pn9,,skt-lo-bi-pn9
Udakaśāṭikā,,,,,,,zh-mg-bi-pn10,,skt-lo-bi-pn10
Tala-ghāta,,,,,,,zh-mg-bi-pn11,,skt-lo-bi-pn11
Jatu-maṭṭhaka,,,,,,,zh-mg-bi-pn12,,skt-lo-bi-pn12
Dhovanā,,,,,,,zh-mg-bi-pn13*,,skt-lo-bi-pn13
Praveśanā,,,,,,,zh-mg-bi-pn13*,,skt-lo-bi-pn14
Ānicolaka,,,,,,,zh-mg-bi-pn14,,skt-lo-bi-pn15
Strī-tīrtha,,,,,,,zh-mg-bi-pn15,,skt-lo-bi-pn16
Puruṣa-tīrtha,,,,,,,zh-mg-bi-pn16,,skt-lo-bi-pn17
Rajaka-tīrtha,,,,,,,zh-mg-bi-pn17,,skt-lo-bi-pn18
Udaka-dhārā,,,,,,,zh-mg-bi-pn18,,skt-lo-bi-pn19
Udaka-srota,,,,,,,zh-mg-bi-pn19,,skt-lo-bi-pn20
Vikṛti,,,,,,,zh-mg-bi-pn20,,skt-lo-bi-pn21
Karma,,,,,,,zh-mg-bi-pn21,,skt-lo-bi-pn22
Kauśeya,,,,,,,zh-mg-bi-pn22,,skt-lo-bi-pn23
Gaṇḍa-praticchādana,,,,,,,zh-mg-bi-pn23,,skt-lo-bi-pn24
Strī-alaṁkāra,,,,,,,zh-mg-bi-pn24,,skt-lo-bi-pn25
Utpala-vāpaka,,,,,,,zh-mg-bi-pn25,,skt-lo-bi-pn26
Sumanā-vāpanā,,,,,,,zh-mg-bi-pn26,,skt-lo-bi-pn27
Utpala-granthikā,,,,,,,zh-mg-bi-pn27*,,skt-lo-bi-pn28
Sumanā-granthikā,,,,,,,zh-mg-bi-pn27*,,skt-lo-bi-pn29
Kartanā,,,,,,,zh-mg-bi-pn28,,skt-lo-bi-pn30
Ācāra-vikopanā,,,,,,,zh-mg-bi-pn29,,skt-lo-bi-pn31
Pātra-praticchādanā,,,,,,,zh-mg-bi-pn30,,skt-lo-bi-pn32
Ratna,,,,,,,zh-mg-bi-pn31,,skt-lo-bi-pn49
Varca-kuṭi,,,,,,,zh-mg-bi-pn32,,skt-lo-bi-pn33
Jentāka,,,,,,,zh-mg-bi-pn33,,skt-lo-bi-pn34
Āraṇyaka,,,,,,,zh-mg-bi-pn34,,skt-lo-bi-pn35
Bhikṣūṇām āstāro,,,,,,,zh-mg-bi-pn35*,,skt-lo-bi-pn36
Bhikṣuṇīnāṁ āstāro,,,,,,,zh-mg-bi-pn35*,,skt-lo-bi-pn37
Bhikṣūṇām uddhāro,,,,,,,zh-mg-bi-pn35*,,skt-lo-bi-pn38
Bhikṣuṇīnām uddhāro,,,,,,,zh-mg-bi-pn35*,,skt-lo-bi-pn39
Bhikṣūṇām abhihāro,,,,,,,zh-mg-bi-pn35*,,skt-lo-bi-pn40
Bhikṣuṇīnām abhihāro,,,,,,,zh-mg-bi-pn35*,,skt-lo-bi-pn41
Bhikṣūṇām āmiṣaṁ,,,,,,,zh-mg-bi-pn36*,,skt-lo-bi-pn42
Bhikṣuṇīnām āmiṣaṁ,,,,,,,zh-mg-bi-pn36*,,skt-lo-bi-pn43
Labhyaṁ bhikṣusya bhikṣuṇīya,,,,,,,zh-mg-bi-pn36*,,skt-lo-bi-pn44
Labhyaṁ bhikṣuṇīye bhikṣūṇā,,,,,,,zh-mg-bi-pn36*,,skt-lo-bi-pn45
Abhikṣu-karaṇāni,,,,,,,zh-mg-bi-pn37,,skt-lo-bi-pn46
Abhikṣuṇī-karaṇāni,,,,,,,zh-mg-bi-pn38,,skt-lo-bi-pn47
Atirikta-karma,,,,,,,zh-mg-bi-pn39,,skt-lo-bi-pn48
Yathā-vṛddhikāya,,,,,,,zh-mg-bi-pn40,,skt-lo-bi-pn50
